ym:s:visitID,ym:s:date,ym:s:watchIDs,version
4296220217705234487,2024-07-27,"[4296220217705234487,4296221420920242424,4296221801726083192,4296222063860646126,4296223242754457899,4296225243766194325,4296225475879501851,4296225866821927159,4296226026667638921,4296226380881068267,4296226496675053745,4296227025993072891,4296227549935829175,4296227908555374974,4296225457965629566]",v2
3569002415755362534,2024-06-25,"[3569002415755362534,3569011376590160064,3569029371530051895,3569029837360988580,3569029987022143545,3569366816859619462,3569366822049546361,3569371873238843696,3569371983637905559,3569372893995598001,3569373015402348558,3569373316522967064,3569373469446504670,3569373563337834562,3569374375698497910,3569374564339941504,3569375060394508453,3569375258425688228,3569375385411387576,3569376042168615026,3569376233786966144,3569376434969116810,3569376568612225251,3569376816054403308,3569006449824104672,3569034072186945657]",v2
4354453135323562015,2024-07-30,"[4354453135323562015,4354457331995508767]",v2
357146904263131308,2024-02-04,"[357146904263131308,357191928157307145,357192233635282946,357234936128208937,357235182926299158,357240916303151440,357240971107500533,357266855653540101,357287689708896530,357287984871768271,357291796790771768,357310940062417134,357316779529994303,357316913000087893,357318453981086146,357325301864988774,357344537908609293,357346226514165817,357346350052671586,357434557472178323,357435880065466620,357436132135797237,357445417786146960,357446582092693730,357446806565814384,357459562892099802,357150812549415125,357314722397159488,357329207069245598,357349686173237350,357450667427365097]",v2
3295604362291183855,2024-06-13,"[3295604362291183855,3295608203359027513]",v2
4298365536376455292,2024-07-27,"[4298365536376455292,4298366625344913431,4298367099803533620,4298367682586870121,4298368101871255598,4298368322561114302,4298368736062603362,4298369199252177163,4298369954516041914,4298370531573104762,4298373311435112468,4298373809465196693,4298376612114858129,4298382036148945078,4298372316592603226]",v2
4884485849473876140,2024-08-22,"[4884485849473876140,4884489817465028780]",v2
4769130354394005659,2024-08-17,[4769130354394005659],v2
4294971118526398693,2024-07-27,"[4294971118526398693,4294971493018501166,4294971853690372134,4294972402568528163,4294972799568576533,4294973149054501025,4294975598919680166,4294975825539498231,4294976073810051213,4294976316816228582,4294976623762997382,4294977203261145438,4295012795590377690,4295012966228558069,4295013263828320340,4295016742998769966,4295017019399995756,4295017671428145405,4295018064292348000,4295025285245435960,4294975453849190741]",v2
5478391724326781034,2024-09-18,"[5478391724326781034,5478398918051495946,5478406678954115103,5478395651253862506,5478410599433764874]",v2
4453238347034526047,2024-08-03,"[4453238347034526047,4453242383565586659]",v2
3425262786473623984,2024-06-19,"[3425262786473623984,3425266700832735504]",v2
6856968807619493923,2024-11-17,"[6856968807619493923,6856977500449800397,6856978025162997968,6856972724939784400]",v2
3721943561232973874,2024-07-02,"[3721943561232973874,3721944691707478321,3721944692579369010,3721980910695350322,3721949417242624050]",v2
1897455830955982910,2024-04-12,"[1897455830955982910,1897459992677843484]",v2
3957546391917297782,2024-07-12,"[3957546391917297782,3957546915369058460,3957547139143303408,3957547271776108784,3957547577628164252,3957547966474485878,3957548263211532444,3957548375537352944,3957548613432508470,3957548737468563574,3957549435691991158,3957567740582297654,3957568510156865776,3957568777727246390,3957569415907639414,3957569874390155420,3957569994603364470,3957570398564647068,3957570519189160054,3957570801237753910,3957570961504731190,3957571157784002800,3957571301738545270,3957572656506601712,3957550842092716188]",v2
